Train/Test,Date,Outlook,Temperature,Humidity,Windy,Playing Tennis
Train,1-Aug,0-Sunny,2-Hot,1-High,FALSE,No
Train,2-Aug,0-Sunny,2-Hot,1-High,TRUE,No
Train,3-Aug,1-Overcast,2-Hot,1-High,FALSE,Yes
Train,4-Aug,2-Rainy,1-Mild,1-High,FALSE,Yes
Train,5-Aug,2-Rainy,0-Cool,0-Normal,FALSE,Yes
Train,6-Aug,2-Rainy,0-Cool,0-Normal,TRUE,No
Train,7-Aug,1-Overcast,0-Cool,0-Normal,TRUE,Yes
Train,8-Aug,0-Sunny,1-Mild,1-High,FALSE,No
Train,9-Aug,0-Sunny,0-Cool,0-Normal,FALSE,Yes
Train,10-Aug,2-Rainy,1-Mild,0-Normal,FALSE,Yes
Train,11-Aug,0-Sunny,1-Mild,0-Normal,TRUE,Yes
Train,12-Aug,1-Overcast,1-Mild,1-High,TRUE,Yes
Train,13-Aug,1-Overcast,2-Hot,0-Normal,FALSE,Yes
Train,14-Aug,2-Rainy,1-Mild,1-High,TRUE,No
Train,15-Aug,-3.5,175,0-Normal,FALSE,No
Train,16-Aug,0-Sunny,,1-High,,Yes
Train,17-Aug,2-Rainy,1-Mild,0-Normal,FALSE,
Test,18-Aug,2-Rainy,2-Hot,1-High,FALSE,Yes
Test,19-Aug,2-Rainy,1-Mild,1-High,FALSE,Yes
Test,20-Aug,2-Rainy,0-Cool,1-High,FALSE,Yes
Test,21-Aug,2-Rainy,2-Hot,1-High,TRUE,No
Test,22-Aug,2-Rainy,1-Mild,1-High,TRUE,Yes
Test,23-Aug,2-Rainy,0-Cool,1-High,TRUE,No
Test,24-Aug,0-Sunny,2-Hot,1-High,FALSE,No
Test,25-Aug,0-Sunny,1-Mild,1-High,FALSE,No
Test,26-Aug,0-Sunny,0-Cool,1-High,FALSE,Yes
Test,27-Aug,0-Sunny,2-Hot,0-Normal,TRUE,No
Test,28-Aug,0-Sunny,1-Mild,0-Normal,TRUE,Yes
Test,29-Aug,0-Sunny,0-Cool,0-Normal,TRUE,Yes
Test,30-Aug,1-Overcast,2-Hot,1-High,TRUE,No
Test,31-Aug,1-Overcast,Mile,0-Normal,FALSE,Yes
